Date,Open,High,Low,Close,Volume
2023-01-01,102.48357076505616,105.91195724621008,99.42369160270466,106.57905549517754,1132
2023-01-02,99.70888349013119,108.13432818175174,93.33721659814135,100.39843832294969,3838
2023-01-03,104.03848167359064,109.52278281396173,94.68484279056507,106.66022754540708,3696
2023-01-04,108.81428064719722,110.5078051594062,99.45202496705807,111.93234783070608,4385
2023-01-05,100.42634549746606,101.95330386066188,96.34919799451664,98.84483591663864,4770
2023-01-06,100.82292868139986,104.83107354966441,95.07383148540461,100.15987199460366,3268
2023-01-07,110.28433183955227,118.34840463355548,107.37960875242351,113.76904958361492,1975
2023-01-08,106.61788407067229,113.98701248334054,96.65720408518234,105.2504375874304,4509
2023-01-09,100.82320715178638,108.92074183383804,90.99314598097496,103.7625584863049,4117
2023-01-10,106.27031443980208,111.92573594777656,99.42473407243506,110.68023766554646,2813
2023-01-11,101.62407113578561,106.58586211738503,93.38434459868836,102.85617486646568,4263
2023-01-12,101.99251386107449,104.31958660143104,94.55661240952118,104.40878673559337,2543
2023-01-13,105.90698613255374,109.86072091503755,99.56856216119853,108.95795925296508,4450
2023-01-14,95.50245071939153,100.40862501495641,94.02231874649145,98.95284720835795,3835
2023-01-15,96.81126569829418,98.60866956541074,91.71838661532023,95.76179907686213,3738
2023-01-16,102.98641181117824,105.97191938557914,95.91333509167154,98.49904640293822,2357
2023-01-17,101.0903516304153,107.47437927698894,93.99256710546214,100.10911434278269,1038
2023-01-18,108.07674228494996,115.69771031310266,103.7186387191485,109.81430458279085,2316
2023-01-19,102.31040798245121,112.29553558498776,92.83518010252894,101.81391184025914,3737
2023-01-20,100.12774732053596,109.52576730262798,97.62153403040493,102.61737882913995,1161
2023-01-21,114.8496592412277,121.63274603704443,109.34642422528765,113.41948353591434,4402
2023-01-22,106.71780026800444,111.50903274765109,99.49984447904703,108.06524167904473,2909
2023-01-23,108.50241833175353,115.22801461412763,101.22819607872725,105.36661638029328,2127
2023-01-24,101.35168141632286,109.42254597904495,94.51393080540352,103.84537578277244,3208
2023-01-25,106.05643189079203,108.1214576091025,102.57883796972529,106.51339157892228,4870
2023-01-26,109.62789697121245,114.31704097847904,107.22203785303286,106.66854085667846,2658
2023-01-27,103.60501608713817,112.16323665785872,96.88155314569777,101.52412782211624,4125
2023-01-28,111.51669072435064,115.97118729174804,105.1229716790957,114.00277781016896,2963
2023-01-29,106.90450525021816,113.05135569126284,104.29030115761499,106.73051760683337,2057
2023-01-30,108.70978382823797,114.99970807599776,101.3635315181029,105.8700982321687,3289
2023-01-31,107.41111355536664,110.07139983356939,102.31456562976373,112.08382545906962,1966
2023-02-01,119.92306628223629,124.18318525710689,112.91322095780791,122.07431648040517,1889
2023-02-02,110.82665764380711,114.83725924248449,102.29035392587575,115.39800596920507,3160
2023-02-03,105.82831279169457,107.06408316848315,103.30075693450226,105.09936324529801,4061
2023-02-04,115.44239736461778,116.66012323963997,114.27009355264624,115.19340077153498,3365
2023-02-05,105.42817909202354,113.9134524851055,97.41625581446146,109.40773125387373,3070
2023-02-06,112.7692077111586,116.22684500091391,106.28193088478506,113.01970111361244,4629
2023-02-07,102.10865943696862,107.77136833311796,94.81190331036953,104.18144855602529,3871
2023-02-08,105.43769966641982,109.12622982871878,96.89430489152204,102.95942844137511,4718
2023-02-09,113.22393876912196,122.69005197516002,104.99864035570145,112.69120345614836,4189
2023-02-10,116.0822460944573,119.41591692424927,106.43396477209788,112.31674475256085,3748
2023-02-11,113.38622016070345,118.25313147535385,107.56280445103438,110.44602051947307,2666
2023-02-12,112.0797069200238,120.93427917438521,106.68324622608465,107.0891410727001,4066
2023-02-13,111.27003463121892,119.8474367323452,106.65304983220236,106.66268514770552,4283
2023-02-14,105.4895265158089,108.1644392764254,103.10630713021106,110.2623647475782,2441
2023-02-15,109.37843300795315,117.60222279611455,103.22496791201495,106.80196995932077,4184
2023-02-16,110.75887995430372,115.88256193494476,107.2657672353699,112.39198704934374,2067
2023-02-17,118.42098717559121,123.76770702435941,109.12921956567443,121.81198416358733,1127
2023-02-18,114.91564487141794,117.11696462316144,108.66692763292406,115.42224946378359,3923
2023-02-19,104.43341021329474,106.15882383710886,98.09784858872175,100.9648552141343,1157
2023-02-20,114.90898600552819,122.46043976829208,110.7146640576351,117.19015037888985,4856
2023-02-21,111.39203729260782,116.86018766380552,109.92413312480846,112.39455139360365,1826
2023-02-22,109.95069068096349,114.8823470045001,108.66499679260659,112.26319657443725,4465
2023-02-23,116.40055792153439,123.96613197940596,111.5905416241556,119.09802415010526,2890
2023-02-24,118.49314025795873,126.38275634887871,116.73205185508358,123.24724393480618,3899
2023-02-25,117.97967848566095,120.40985199468514,111.5180558857997,118.71531128592805,1511
2023-02-26,109.10158534746394,115.5936116927627,100.17282829670702,107.51799647436995,4985
2023-02-27,111.71536868750131,113.93355542800047,102.76913533883281,113.20001425650368,3092
2023-02-28,114.87098239151472,122.63335816577613,107.93957370032463,110.55538948394097,4179
2023-03-01,118.0352288439537,124.94782525035797,115.13414236069733,122.00920202716956,3266
2023-03-02,110.69421110683989,120.303742696591,101.92723962461004,106.88802122022186,1442
2023-03-03,112.0842568350427,113.70487898225049,103.10941591722383,110.36268521390087,4901
2023-03-04,107.39339707280071,108.906889563162,104.62351480822409,110.55085087906193,3362
2023-03-05,106.84678138506509,110.38646505730388,99.20994661312899,107.8199051683722,3224
2023-03-06,116.78359093180048,120.13894208542362,113.20491499145636,115.7199461345749,3275
2023-03-07,119.38590711694967,122.60871630859766,111.1621443057733,119.12026371069989,2726
2023-03-08,112.11920290836433,121.27549413305366,102.1440618092319,115.66467684038614,3006
2023-03-09,117.36247971717269,120.60839551581824,116.09224566920815,115.76252357777162,2695
2023-03-10,114.0097960105879,117.45734354574559,104.93350321846953,117.70629285870962,4977
2023-03-11,108.82429023965913,116.6588746014208,102.2206154372712,104.70563454942605,1266
2023-03-12,113.69685564756708,118.74451422962194,103.93641207508368,116.46484001965338,3917
2023-03-13,119.41201676646091,127.40241177905754,114.22693110872306,122.88749309700827,1837
2023-03-14,111.36688892206716,112.95518434014663,102.7403975469248,108.18506545044055,4450
2023-03-15,119.18592125747885,124.57406200053931,117.62437464009436,118.48938658120086,1488
2023-03-16,98.0734381491377,99.37596055078724,94.05592669843304,94.72843589577425,1701
2023-03-17,115.08419990181612,116.64807873291431,113.48105106205523,117.1502411917583,1686
2023-03-18,111.20580335677894,120.36374043687864,101.42771515546731,111.55928103739551,4361
2023-03-19,109.0650701206801,111.31827846073845,100.71230495523358,110.41830358776332,1995
2023-03-20,110.80241618653118,116.59420232700813,102.12948939531744,107.76728585609328,1356
2023-03-21,100.18355479889806,104.88341522230442,90.74186771599301,97.30101341942225,4728
2023-03-22,108.79543006337704,112.92151999970662,107.02949868829897,104.2104033184761,4815
2023-03-23,111.44667298285103,120.54517309403647,106.97629465023103,109.66734833480832,1871
2023-03-24,116.81316453302716,118.00957510400657,115.17385053163115,117.41061114636392,2973
2023-03-25,106.59052930175726,113.56463647733756,103.693391387807,110.16987844173055,3251
2023-03-26,104.89354359356969,114.56409350149164,101.82925160023063,106.5628180681565,4284
2023-03-27,106.17765047845776,112.21916412961434,100.95568557902956,105.53161371245528,1551
2023-03-28,113.01051511314544,122.44191727144327,109.59345560606266,117.54171625708682,2810
2023-03-29,109.82132924026942,111.29165015384363,107.91252627890957,112.01378124602773,1322
2023-03-30,105.2702011158201,110.03934098748755,102.76278131397314,109.5718531444456,3641
